date,USD Készpénz (BIL),USA Állampapír (IEF),USA Váll. Kötvény (LQD),Arany (GLD)
2015-05-31,-0.00021839418776525843,0.005552104050766671,-0.004162986212545405,-0.01120339246061286
2015-06-30,0.0,-0.015162101232906178,-0.01630950649153673,-0.01883148126975187
2015-07-31,0.0,-0.06620986259282224,0.01518466505628524,0.008319639538932444
2015-08-31,0.0,0.03707232801234017,0.000789923752485544,-0.008274422464202735
2015-09-30,-0.0004372851515602738,-0.01801138660144541,0.015792299145509725,0.011898312409088563
2015-10-31,-0.00021853745739042196,0.022833636790845047,-0.006369387842547591,0.005735898419232166
2015-11-30,0.00021858522645001877,-0.06752062833262484,-0.004276551939646822,-0.001541860244062554
2015-12-31,-0.00021853745739042196,-0.004513334897339294,-0.004530335971839605,-0.010809964413073025
2016-01-31,0.00021858522645001877,0.05410997351969926,0.03333656152536779,0.0012273416265287107
2016-02-29,0.0,0.10930343875618398,0.014859345426682324,0.010517593295416905
2016-03-31,0.0,-0.008428860461434318,-0.0006608921824785563,0.03614555068224634
2016-04-30,0.00043747645351754905,0.051088083708025867,-0.0015611665300100386,0.015545808668892436
2016-05-31,0.0,-0.06138296703293311,-0.0009923594503925548,-0.005124600744912611
2016-06-30,-0.0002186425757800814,0.08969501879279118,0.03087617641349749,0.030943523648937488
2016-07-31,0.00043718005615889233,0.01984656031160892,0.002464279054072094,0.01291549785728563
2016-08-31,0.0,-0.03256316550912575,-0.010113895126717787,0.0018035832800422646
2016-09-30,0.00021929705762735452,0.006892135107908315,0.002374127020269956,-0.0031565828052380063
2016-10-31,0.00021874749257810855,-0.02944919584699579,-0.014946572265986613,-0.015285799025930857
2016-11-30,-0.00043790067987414805,-0.08356570639157301,-0.04227200808843168,-0.03167511518041233
2016-12-31,0.0002193973765010071,-0.019149882681417818,-0.0011857119086325918,0.008391968357770452
2017-01-31,0.0004373946444080623,0.05419215772584596,0.00219492533613197,0.0014506696653295847
2017-02-28,0.0005035709122684917,0.031847686784806095,0.007235880893634805,0.013209615034575295
2017-03-31,-0.00017535447907945922,-0.00427746474772539,0.0008054435049342779,-0.0029509133935538
2017-04-30,0.0007440342712767833,0.01726748147982482,0.011087644186700052,0.011888474771931223
2017-05-31,0.00015332294689707204,-0.0012419798017191397,0.008268020949088406,0.013330856634057975
2017-06-30,0.0010286382583741815,-0.02155534773928114,-0.005095687562622797,0.004802959922494354
2017-07-31,0.00032778971604519036,0.02313170169958645,0.0037483399120419314,0.007654699291718581
2017-08-31,0.0011381385405189182,0.04198757511241591,0.014575714449604371,0.006771679864449709
2017-09-30,0.0007220391848836716,-0.03369891808976022,-0.014415580495930613,-0.0004943228558560442
2017-10-31,0.0006998596986911299,-0.007484813689786707,-0.0018895705040022914,0.0019267105173104149
2017-11-30,0.0005471684432021284,0.003563440057186007,-0.002792290362645611,-0.0012332146925182474
2017-12-31,0.0007436464334029669,0.021057003170010358,0.0018471995566857746,0.012204796040901078
2018-01-31,0.0013126662933931055,0.03234937283169237,-0.021502343706961136,-0.012257402761745473
2018-02-28,0.0008314525838746256,-0.020759902030566435,-0.009327749348372438,-0.022371878359146335
2018-03-31,0.0013013082163220169,0.006320007324218668,0.0115572158340016,0.005568276881023682
2018-04-30,0.001038939174211162,-0.009539745360543916,-0.012764620297037399,-0.01565983120770187
2018-05-31,0.001498383164242112,-0.011959209467577336,0.00986090008901952,0.00521368794822763
2018-06-30,0.0014873288905890014,-0.03614944763120931,0.0019744131318599756,-0.004872685570022184
2018-07-31,0.001388623314199533,-0.022418909632539674,-0.005277025038490812,0.013438238460710794
2018-08-31,0.0015854462002260483,-0.021381117106768266,0.010139465498144817,0.00019942012170104384
2018-09-30,0.0014001762739519474,-0.006607347245927042,-0.012050580244668874,-0.0014076337808501815
2018-10-31,0.0017059368472613912,0.02119545356837582,-0.0030308297991833433,-0.020492521223839155
2018-11-30,0.0018594785696617322,0.003386881324189961,0.013301382226280412,-0.003584973278615511
2018-12-31,0.0018272874467637479,0.04942010593064916,0.02804230044342848,0.018595115669226336
2019-01-31,0.0017497392182637128,0.028865979381443196,0.006526197628629937,0.03368148823802097
2019-02-28,0.0018478422244165849,-0.006092201492829408,-0.005255525733090294,-0.002038231002799762
2019-03-31,0.0017495099411246606,-0.01596899557748621,0.026551569987780077,0.029290200213871076
2019-04-30,0.0019253557964018508,-0.006638842503124187,-0.005185457577072672,0.004363403523530041
2019-05-31,0.002121694766389126,0.017574298155486723,0.030486254095969167,0.01650598389695057
2019-06-30,0.0018154518551711796,0.08002914919848991,0.012171463107927938,0.032467460233526424
2019-07-31,0.0018043196201751321,7.514839229982861e-05,0.0003825926309815042,0.0025398339039373052
2019-08-31,0.001694954075906363,0.0791231345612986,0.03951614388682945,0.03886021695478026
2019-09-30,0.0016182780028521915,-0.0339478600543478,-0.01186050779858805,-0.00755937093829695
2019-10-31,0.001607764739834261,0.02563546974700759,0.0018783925189551631,0.0044518829680442185
2019-11-30,0.0010824966087832344,-0.03208588289288572,-0.006871877401257165,0.004750566049925187
2019-12-31,0.001115621866726535,0.03655877893383952,-0.009280513376680788,0.005273112718503281
2020-01-31,0.0012031412561530619,0.04499655849690343,0.03465799761946209,0.024460667351956067
2020-02-29,0.0011811847731826308,-0.006361728631845698,0.029617379595417548,0.01091370063631647
2020-03-31,0.002044722549942035,-0.002224031676743232,0.03722662970378421,-0.06311851054936246
2020-04-30,-0.00019603956139491174,0.07261060302877431,0.0027523394104405075,0.0484576107016883
2020-05-31,-0.00017486488343343431,0.02588161543682088,0.003274691209937286,0.02460232444191779
2020-06-30,0.0,0.02737702630176453,0.00042716860011715596,0.021276295924480992
2020-07-31,0.00010923798809803209,0.10790463097013703,0.008541134226526026,0.03100066141940161
2020-08-31,0.0,-0.0032356731296194763,-0.009698294243368433,-0.017782572837328203
2020-09-30,-0.00021845211292692568,-0.0417140433776253,0.0032775310169939065,-0.004397711820602335
2020-10-31,0.00010924992233984909,-0.0051942084141127776,-0.013808079654550331,-0.005103775418510592
2020-11-30,-0.00010923798809814311,-0.05408625961608993,0.0033840551568884436,0.037715843786371606
2020-12-31,3.26889531410135e-05,0.07013861264675048,-0.002384812686822335,0.001506332007772393
2021-01-31,0.0,-0.03223816988295236,-0.010921036284586738,-0.018316318044447666
2021-02-28,-0.00010943750841097,-0.06256881416817583,-0.023633358010717864,-0.022633378873910148
2021-03-31,-0.00010916271907701613,-0.011433105943016053,-0.023856960242778946,-0.014779620639550517
2021-04-30,0.0,0.035633887903232075,0.010012603181554836,0.010431227673506127
2021-05-31,-0.00010936583589105098,0.07678377966625938,0.00424850147679412,0.006226303644698339
2021-06-30,-0.00021865998620729243,-0.07147662098325525,0.010225652267290997,0.022114737973335963
2021-07-31,-0.00010940171986384417,0.025297363508325565,0.019902561857768175,0.014189852472367148
2021-08-31,-0.00010893548322310487,-0.0007655451490135023,-0.003944279268429662,-0.0034394365645974423
2021-09-30,0.00010894735145550172,-0.03223525924924131,-0.015970705687783804,-0.015074177327378147
2021-10-31,-0.00010893548322310487,0.014797178527087285,-0.004429425677588417,0.0053099005528796095
2021-11-30,-0.00021904252399740365,-0.006900653696985448,0.010921191811489983,-0.0011861921005110743
2021-12-31,0.0,0.032990977123064535,-0.005240721653378633,-0.00034157219092401103
2022-01-31,0.0,-0.016787612677039987,-0.02113039417262208,-0.03591898306368202
2022-02-28,-0.00021851647785497974,0.061217257237826006,-0.0030409413812074737,-0.021314489030950567
2022-03-31,0.0004597121708032059,0.0127255799503041,-0.040609242522918976,-0.02893753519564568
2022-04-30,-0.00010999710085901615,-0.020702963524693363,-0.04228256020399601,-0.06699272402771661
2022-05-31,0.0003285927020277857,-0.03261547766106776,0.0061839255103599555,0.01863852450226977
2022-06-30,0.0007766010978562665,-0.01565965107712486,-0.00863485155240351,-0.03622798097257307
2022-07-31,0.00036119617854435404,-0.0258815174913124,0.029615165816455846,0.044444579877546575
2022-08-31,0.0019365733540916974,-0.02943328245830701,-0.03853822029032106,-0.04429112906568733
2022-09-30,0.0020676345690424647,-0.028881810636775418,-0.0473499359595857,-0.05979844319027372
2022-10-31,0.0015856768296054202,-0.017844407703562548,-0.014540210202508619,-0.007453053345756633
2022-11-30,0.003151514737021577,0.0849186596373046,0.03612240099068087,0.06647690122666372
2022-12-31,0.0036262356291854037,0.02930648566594085,-0.014880530963602534,-0.015511331278190377
2023-01-31,0.002842502813915404,0.05759257431981046,0.03581097915311182,0.051598382045401125
